priority_rank,market_type,peer_group,screening_status,recommended_review_mode,total_company_count,decided_security_count,decided_watch_count,unreviewed_company_count,deep_review_candidate_count,advance_to_deep_review_count,borderline_count,triage_reject_count,challenged_count,max_triage_score,average_triage_score,top_unreviewed_examples
71,A_SHARE,基础化工-合成纤维及树脂-玻纤,not_started,batch_reject_with_spot_check,7,0,0,7,0,0,0,7,0,56.16,50.28,603256:宏和科技:56.16:reject | 600176:中国巨石:53.51:reject | 002080:中材科技:52.88:reject | 300196:长海股份:51.21:reject | 603601:再升科技:47.16:reject
72,A_SHARE,文化传媒-影视动漫-影视,not_started,batch_reject_with_spot_check,19,0,0,19,0,0,0,19,0,56.01,50.11,603103:横店影视:56.01:reject | 300251:光线传媒:55.76:reject | 001330:博纳影业:55.42:reject | 002905:金逸影视:55.19:reject | 300133:华策影视:54.52:reject
73,A_SHARE,农林牧渔-农业-农业服务,not_started,batch_reject_with_spot_check,1,0,0,1,0,0,0,1,0,55.39,55.39,002215:诺 普 信:55.39:reject
74,A_SHARE,基础化工-合成纤维及树脂-锦纶,not_started,batch_reject_with_spot_check,4,0,0,4,0,0,0,4,0,55.36,50.91,300384:三联虹普:55.36:reject | 603055:台华新材:54.83:reject | 601113:华鼎股份:49.07:reject | 000782:恒申新材:44.36:reject
75,A_SHARE,金融-银行-国有银行,partially_screened,batch_reject_with_spot_check,6,3,1,3,0,0,0,3,0,55.29,52.71,601288:农业银行:55.29:reject | 601988:中国银行:54.04:reject | 601328:交通银行:48.80:reject
76,A_SHARE,农林牧渔-林业-木材加工,not_started,batch_reject_with_spot_check,5,0,0,5,0,0,0,5,0,54.74,52.22,000592:平潭发展:54.74:reject | 601996:丰林集团:53.18:reject | 000663:永安林业:53.05:reject | 600076:康欣新材:52.94:reject | 600265:*ST景谷:47.17:reject
77,A_SHARE,纺织服装-纺织-丝绸,not_started,batch_reject_with_spot_check,2,0,0,2,0,0,0,2,0,54.55,51.87,002404:嘉欣丝绸:54.55:reject | 301066:万事利:49.19:reject
78,A_SHARE,基础化工-化学制品-印染化学品,not_started,batch_reject_with_spot_check,15,0,0,15,0,0,0,15,0,53.80,48.89,002440:闰土股份:53.80:reject | 600352:浙江龙盛:52.39:reject | 002054:德美化工:51.73:reject | 300758:七彩化学:51.49:reject | 603790:雅运股份:50.10:reject
79,A_SHARE,文化传媒-体育-赛事运营与传播,not_started,batch_reject_with_spot_check,1,0,0,1,0,0,0,1,0,53.73,53.73,002858:力盛体育:53.73:reject
80,A_SHARE,金融-非银行金融-PE、VC投资,not_started,batch_reject_with_spot_check,1,0,0,1,0,0,0,1,0,53.51,53.51,600053:*ST九鼎:53.51:reject
81,A_SHARE,化石能源-石油天然气-油田服务,not_started,batch_reject_with_spot_check,12,0,0,12,0,0,0,12,0,53.15,49.11,600583:海油工程:53.15:reject | 601808:中海油服:52.74:reject | 002828:贝肯能源:52.44:reject | 002353:杰瑞股份:52.38:reject | 603619:中曼石油:51.08:reject
82,A_SHARE,农林牧渔-林业-林业种植,not_started,batch_reject_with_spot_check,1,0,0,1,0,0,0,1,0,53.03,53.03,002679:福建金森:53.03:reject
83,A_SHARE,国防与装备-船舶与海洋装备-海洋工程装备,not_started,batch_reject_with_spot_check,2,0,0,2,0,0,0,2,0,52.87,51.45,600764:中国海防:52.87:reject | 300065:海兰信:50.03:reject
84,A_SHARE,化石能源-煤炭-焦炭,not_started,batch_reject_with_spot_check,7,0,0,7,0,0,0,7,0,52.80,48.27,000723:美锦能源:52.80:reject | 600740:山西焦化:50.88:reject | 601011:宝泰隆:48.87:reject | 601015:陕西黑猫:48.13:reject | 600725:云维股份:46.31:reject
85,A_SHARE,基础化工-合成纤维及树脂-粘胶纤维,not_started,batch_reject_with_spot_check,5,0,0,5,0,0,0,5,0,51.86,48.68,600409:三友化工:51.86:reject | 000949:新乡化纤:51.65:reject | 000677:ST海龙:49.01:reject | 000420:吉林化纤:47.82:reject | 600889:*ST京化:43.07:reject
86,A_SHARE,建筑-建筑施工-房屋建筑,not_started,batch_reject_with_spot_check,8,0,0,8,0,0,0,8,0,51.28,43.09,601668:中国建筑:51.28:reject | 601068:中铝国际:50.60:reject | 600170:上海建工:47.43:reject | 600939:重庆建工:42.22:reject | 002785:万里石:40.53:reject
87,A_SHARE,建筑-建筑施工-专业工程,not_started,batch_reject_with_spot_check,42,0,0,42,0,0,0,42,0,50.71,40.35,600970:中材国际:50.71:reject | 601611:中国核建:48.98:reject | 002140:东华科技:48.24:reject | 000090:天健集团:46.83:reject | 000032:深桑达Ａ:45.41:reject
88,A_SHARE,文化传媒-影视动漫-动漫,not_started,batch_reject_with_spot_check,1,0,0,1,0,0,0,1,0,50.45,50.45,002292:奥飞娱乐:50.45:reject
89,A_SHARE,商贸零售-商业物业经营-专业市场,not_started,batch_reject_with_spot_check,8,0,0,8,0,0,0,8,0,50.08,42.30,000061:农 产 品:50.08:reject | 000058:深 赛 格:49.86:reject | 601828:美凯龙:45.44:reject | 002818:富森美:42.40:reject | 600113:浙江东日:39.02:reject
90,A_SHARE,基础化工-合成纤维及树脂-维纶,not_started,batch_reject_with_spot_check,1,0,0,1,0,0,0,1,0,49.21,49.21,600063:皖维高新:49.21:reject
91,A_SHARE,基础化工-化肥农药-钾肥,partially_screened,batch_reject_with_spot_check,4,2,2,2,0,0,0,2,0,48.21,48.00,002545:东方铁塔:48.21:reject | 000893:亚钾国际:47.80:reject
92,A_SHARE,建筑-建筑施工-园林工程,not_started,batch_reject_with_spot_check,9,0,0,9,0,0,0,9,0,47.54,40.22,002663:普邦股份:47.54:reject | 002887:绿茵生态:42.67:reject | 301098:金埔园林:41.36:reject | 002431:ST棕榈:40.78:reject | 002200:*ST交投:39.87:reject
93,A_SHARE,有色金属-稀有金属-锂,partially_screened,batch_reject_with_spot_check,7,6,4,1,0,0,0,1,0,46.52,46.52,002667:*ST威领:46.52:reject
94,A_SHARE,文化传媒-教育-幼儿教育,not_started,batch_reject_with_spot_check,1,0,0,1,0,0,0,1,0,46.06,46.06,301231:荣信文化:46.06:reject
95,A_SHARE,文化传媒-教育-成人教育,not_started,batch_reject_with_spot_check,1,0,0,1,0,0,0,1,0,45.82,45.82,002607:中公教育:45.82:reject
96,A_SHARE,房地产-房地产开发-园区开发,not_started,batch_reject_with_spot_check,4,0,0,4,0,0,0,4,0,44.27,39.91,601512:中新集团:44.27:reject | 600082:ST海泰:44.02:reject | 600604:市北高新:36.44:reject | 600463:空港股份:34.93:reject
97,A_SHARE,建筑-钢结构-钢结构,not_started,batch_reject_with_spot_check,8,0,0,8,0,0,0,8,0,43.27,39.25,002541:鸿路钢构:43.27:reject | 600496:精工钢构:42.97:reject | 600477:杭萧钢构:41.96:reject | 002593:日上集团:40.40:reject | 002135:东南网架:40.39:reject
98,A_SHARE,互联网-互联网商务-电子商务B2B,complete,no_action,14,14,5,0,0,0,0,0,0,,,
99,A_SHARE,互联网-互联网商务-网上购物,complete,no_action,3,3,1,0,0,0,0,0,0,,,
100,A_SHARE,互联网-互联网技术-云服务(含IDC、CDN),complete,no_action,9,9,7,0,0,0,0,0,0,,,
101,A_SHARE,互联网-互联网服务-其他互联网服务,complete,no_action,34,34,18,0,0,0,0,0,0,,,
102,A_SHARE,互联网-互联网服务-游戏娱乐,complete,no_action,18,18,8,0,0,0,0,0,0,,,
103,A_SHARE,互联网-互联网服务-综合互联网服务,complete,no_action,9,9,5,0,0,0,0,0,0,,,
104,A_SHARE,互联网-互联网服务-网络媒体,complete,no_action,6,6,5,0,0,0,0,0,0,,,
105,A_SHARE,互联网-互联网金融-其他互联网金融,complete,no_action,5,5,3,0,0,0,0,0,0,,,
106,A_SHARE,交运设备-其他交运设备-其他交运设备,complete,no_action,16,16,4,0,0,0,0,0,0,,,
107,A_SHARE,交运设备-摩托车-摩托车,complete,no_action,3,3,1,0,0,0,0,0,0,,,
108,A_SHARE,交运设备-汽车-乘用车,complete,no_action,11,11,7,0,0,0,0,0,0,,,
109,A_SHARE,交运设备-汽车-商用车,complete,no_action,10,10,7,0,0,0,0,0,0,,,
110,A_SHARE,交运设备-汽车-汽车销售,complete,no_action,7,7,0,0,0,0,0,0,0,,,
111,A_SHARE,交运设备-汽车-汽车零部件,complete,no_action,237,237,29,0,0,0,0,0,0,,,
112,A_SHARE,交运设备-轨道交通设备-轨道交通设备,complete,no_action,13,13,8,0,0,0,0,0,0,,,
113,A_SHARE,交运设备-铁路设备-其他铁路设备,complete,no_action,2,2,2,0,0,0,0,0,0,,,
114,A_SHARE,交运设备-铁路设备-铁路专用设备及器材,complete,no_action,13,13,8,0,0,0,0,0,0,,,
115,A_SHARE,交运设备-铁路设备-铁路车辆及动车组,complete,no_action,1,1,1,0,0,0,0,0,0,,,
116,A_SHARE,交通运输-公路铁路-公交,complete,no_action,5,5,1,0,0,0,0,0,0,,,
117,A_SHARE,交通运输-公路铁路-铁路运输,complete,no_action,7,7,6,0,0,0,0,0,0,,,
118,A_SHARE,交通运输-公路铁路-高速公路,complete,no_action,20,20,9,0,0,0,0,0,0,,,
119,A_SHARE,交通运输-港口航运-港口,complete,no_action,17,17,9,0,0,0,0,0,0,,,
120,A_SHARE,交通运输-港口航运-航运,complete,no_action,19,19,11,0,0,0,0,0,0,,,
121,A_SHARE,交通运输-物流-物流,complete,no_action,44,44,7,0,0,0,0,0,0,,,
122,A_SHARE,交通运输-航空机场-机场,complete,no_action,5,5,4,0,0,0,0,0,0,,,
123,A_SHARE,交通运输-航空机场-航空,complete,no_action,10,10,8,0,0,0,0,0,0,,,
124,A_SHARE,休闲、生活及专业服务-专业服务-其他专业服务,complete,no_action,67,67,28,0,0,0,0,0,0,,,
125,A_SHARE,信息技术-卫星应用-卫星应用,complete,no_action,5,5,4,0,0,0,0,0,0,,,
126,A_SHARE,信息技术-计算机硬件-PC、服务器及硬件,complete,no_action,12,12,7,0,0,0,0,0,0,,,
127,A_SHARE,信息技术-计算机硬件-专用计算机设备,complete,no_action,35,35,19,0,0,0,0,0,0,,,
128,A_SHARE,信息技术-计算机软件-其他软件服务,complete,no_action,124,124,18,0,0,0,0,0,0,,,
129,A_SHARE,信息技术-计算机软件-基础软件,complete,no_action,6,6,5,0,0,0,0,0,0,,,
130,A_SHARE,信息技术-计算机软件-行业应用软件,complete,no_action,130,130,25,0,0,0,0,0,0,,,
131,A_SHARE,信息技术-通信设备-通信传输设备,complete,no_action,49,49,22,0,0,0,0,0,0,,,
132,A_SHARE,信息技术-通信设备-通信终端设备,complete,no_action,38,38,18,0,0,0,0,0,0,,,
133,A_SHARE,信息技术-通信设备-通信配套服务,complete,no_action,32,32,5,0,0,0,0,0,0,,,
134,A_SHARE,信息技术-通信运营-通信运营,complete,no_action,9,9,6,0,0,0,0,0,0,,,
135,A_SHARE,公用事业-水务-水务,complete,no_action,25,25,11,0,0,0,0,0,0,,,
136,A_SHARE,公用事业-燃气-燃气,complete,no_action,30,30,11,0,0,0,0,0,0,,,
137,A_SHARE,公用事业-环保-环保,complete,no_action,84,84,11,0,0,0,0,0,0,,,
138,A_SHARE,公用事业-环保-空气,complete,no_action,1,1,1,0,0,0,0,0,0,,,
139,A_SHARE,公用事业-电力-其他发电,complete,no_action,12,12,6,0,0,0,0,0,0,,,
140,A_SHARE,公用事业-电力-新能源发电,complete,no_action,20,20,7,0,0,0,0,0,0,,,
141,A_SHARE,公用事业-电力-水电,complete,no_action,19,19,7,0,0,0,0,0,0,,,
142,A_SHARE,公用事业-电力-火电,complete,no_action,30,30,14,0,0,0,0,0,0,,,
143,A_SHARE,公用事业-电力-热电,complete,no_action,10,10,5,0,0,0,0,0,0,,,
144,A_SHARE,农林牧渔-农业-农产品加工,complete,no_action,22,22,2,0,0,0,0,0,0,,,
145,A_SHARE,农林牧渔-农业-种植业,complete,no_action,6,6,3,0,0,0,0,0,0,,,
146,A_SHARE,农林牧渔-畜牧业-养殖,complete,no_action,17,17,4,0,0,0,0,0,0,,,
147,A_SHARE,农林牧渔-畜牧业-饲料,complete,no_action,25,25,9,0,0,0,0,0,0,,,
148,A_SHARE,化石能源-煤炭-煤炭开采洗选,complete,no_action,27,27,4,0,0,0,0,0,0,,,
149,A_SHARE,化石能源-石油天然气-石油天然气贸易,complete,no_action,6,6,0,0,0,0,0,0,0,,,
150,A_SHARE,医药生物-中药生产-中药生产,complete,no_action,63,63,19,0,0,0,0,0,0,,,
151,A_SHARE,医药生物-保健护理-保健护理产品,complete,no_action,6,6,3,0,0,0,0,0,0,,,
152,A_SHARE,医药生物-化学制药-化学制剂,complete,no_action,75,75,16,0,0,0,0,0,0,,,
153,A_SHARE,医药生物-化学制药-化学原料药,complete,no_action,55,55,16,0,0,0,0,0,0,,,
154,A_SHARE,医药生物-医疗器械-医疗器械,complete,no_action,113,113,25,0,0,0,0,0,0,,,
155,A_SHARE,医药生物-医疗服务-医疗服务,complete,no_action,27,27,11,0,0,0,0,0,0,,,
156,A_SHARE,医药生物-医药商业-医药商业,complete,no_action,42,42,15,0,0,0,0,0,0,,,
157,A_SHARE,医药生物-生物医药-生物医药,complete,no_action,127,127,24,0,0,0,0,0,0,,,
158,A_SHARE,国防与装备-地面装备-地面装备,complete,no_action,16,16,9,0,0,0,0,0,0,,,
159,A_SHARE,国防与装备-航空航天装备-航空装备,complete,no_action,32,32,21,0,0,0,0,0,0,,,
160,A_SHARE,基础化工-化学制品-其他化学制品,complete,no_action,139,139,42,0,0,0,0,0,0,,,
161,A_SHARE,基础化工-化学原料-其他化学原料,complete,no_action,49,49,19,0,0,0,0,0,0,,,
162,A_SHARE,基础化工-化学原料-氟化工,complete,no_action,6,6,4,0,0,0,0,0,0,,,
163,A_SHARE,基础化工-化学新材料-化学新材料,complete,no_action,23,23,15,0,0,0,0,0,0,,,
164,A_SHARE,基础化工-橡胶制品-其他橡胶制品,complete,no_action,20,20,4,0,0,0,0,0,0,,,
165,A_SHARE,家电-小家电-小家电,complete,no_action,25,25,3,0,0,0,0,0,0,,,
166,A_SHARE,家电-照明设备-照明设备,complete,no_action,11,11,4,0,0,0,0,0,0,,,
167,A_SHARE,家电-白色家电-白色家电,complete,no_action,18,18,4,0,0,0,0,0,0,,,
168,A_SHARE,家电-视听器材-视听器材,complete,no_action,4,4,3,0,0,0,0,0,0,,,
169,A_SHARE,建材-其他建材-其他建材,complete,no_action,19,19,3,0,0,0,0,0,0,,,
170,A_SHARE,建材-耐火材料-耐火材料,complete,no_action,9,9,3,0,0,0,0,0,0,,,
171,A_SHARE,建筑-基础建设-水利建设,complete,no_action,3,3,1,0,0,0,0,0,0,,,
172,A_SHARE,建筑-基础建设-路桥建设,complete,no_action,12,12,2,0,0,0,0,0,0,,,
173,A_SHARE,建筑-基础建设-铁路城轨建设,complete,no_action,5,5,4,0,0,0,0,0,0,,,
174,A_SHARE,房地产-房地产开发-房地产开发,complete,no_action,74,74,1,0,0,0,0,0,0,,,
175,A_SHARE,房地产-房地产服务-房地产服务,complete,no_action,12,12,0,0,0,0,0,0,0,,,
176,A_SHARE,文化传媒-平面媒体-平面媒体,complete,no_action,27,27,3,0,0,0,0,0,0,,,
177,A_SHARE,文化传媒-广播电视-有线电视,complete,no_action,11,11,5,0,0,0,0,0,0,,,
178,A_SHARE,文化传媒-广播电视-网络电视,complete,no_action,3,3,2,0,0,0,0,0,0,,,
179,A_SHARE,文化传媒-营销服务-营销服务,complete,no_action,27,27,2,0,0,0,0,0,0,,,
180,A_SHARE,有色金属-基本金属-铅锌,complete,no_action,13,13,8,0,0,0,0,0,0,,,
181,A_SHARE,有色金属-基本金属-铜,complete,no_action,17,17,4,0,0,0,0,0,0,,,
182,A_SHARE,有色金属-基本金属-锡,complete,no_action,2,2,2,0,0,0,0,0,0,,,
183,A_SHARE,有色金属-稀有金属-其他稀有小金属,complete,no_action,20,20,15,0,0,0,0,0,0,,,
184,A_SHARE,有色金属-稀有金属-稀土,complete,no_action,4,4,4,0,0,0,0,0,0,,,
185,A_SHARE,有色金属-稀有金属-钨,complete,no_action,4,4,3,0,0,0,0,0,0,,,
186,A_SHARE,有色金属-贵金属-黄金,complete,no_action,13,13,4,0,0,0,0,0,0,,,
187,A_SHARE,有色金属-金属非金属新材料-其他金属新材料,complete,no_action,19,19,15,0,0,0,0,0,0,,,
188,A_SHARE,有色金属-金属非金属新材料-电池材料,complete,no_action,35,35,16,0,0,0,0,0,0,,,
189,A_SHARE,有色金属-金属非金属新材料-非金属新材料,complete,no_action,24,24,9,0,0,0,0,0,0,,,
190,A_SHARE,机械设备-专用设备-其他专用机械,complete,no_action,173,173,47,0,0,0,0,0,0,,,
191,A_SHARE,机械设备-专用设备-工程机械,complete,no_action,21,21,11,0,0,0,0,0,0,,,
192,A_SHARE,机械设备-专用设备-楼宇设备,complete,no_action,10,10,5,0,0,0,0,0,0,,,
193,A_SHARE,机械设备-专用设备-环保设备,complete,no_action,32,32,8,0,0,0,0,0,0,,,
194,A_SHARE,机械设备-专用设备-矿山冶金机械,complete,no_action,26,26,15,0,0,0,0,0,0,,,
195,A_SHARE,机械设备-专用设备-纺织服装机械,complete,no_action,9,9,4,0,0,0,0,0,0,,,
196,A_SHARE,机械设备-机器人-工业机器人,complete,no_action,13,13,9,0,0,0,0,0,0,,,
197,A_SHARE,机械设备-通用设备-仪器仪表,complete,no_action,80,80,32,0,0,0,0,0,0,,,
198,A_SHARE,机械设备-通用设备-其他通用机械,complete,no_action,122,122,26,0,0,0,0,0,0,,,
199,A_SHARE,机械设备-通用设备-制冷空调设备,complete,no_action,16,16,9,0,0,0,0,0,0,,,
200,A_SHARE,机械设备-通用设备-基础件,complete,no_action,40,40,17,0,0,0,0,0,0,,,
201,A_SHARE,机械设备-通用设备-机床设备,complete,no_action,19,19,10,0,0,0,0,0,0,,,
202,A_SHARE,机械设备-金属制品-金属制品,complete,no_action,70,70,21,0,0,0,0,0,0,,,
203,A_SHARE,电子设备-光电子器件-LED,complete,no_action,25,25,12,0,0,0,0,0,0,,,
204,A_SHARE,电子设备-光电子器件-光学元件,complete,no_action,39,39,21,0,0,0,0,0,0,,,
205,A_SHARE,电子设备-半导体-半导体分立器件,complete,no_action,21,21,13,0,0,0,0,0,0,,,
206,A_SHARE,电子设备-半导体-半导体材料,complete,no_action,34,34,28,0,0,0,0,0,0,,,
207,A_SHARE,电子设备-半导体-集成电路,complete,no_action,99,99,33,0,0,0,0,0,0,,,
208,A_SHARE,电子设备-消费电子设备-消费电子设备,complete,no_action,42,42,11,0,0,0,0,0,0,,,
209,A_SHARE,电子设备-电子元件-电子元件,complete,no_action,114,114,21,0,0,0,0,0,0,,,
210,A_SHARE,电子设备-电子器件-其他电子器件,complete,no_action,44,44,17,0,0,0,0,0,0,,,
211,A_SHARE,电子设备-电子器件-显示器件,complete,no_action,33,33,13,0,0,0,0,0,0,,,
212,A_SHARE,电子设备-电子设备制造-电子设备制造,complete,no_action,150,150,28,0,0,0,0,0,0,,,
213,A_SHARE,电气设备-其他电气设备-其他电气设备,complete,no_action,48,48,20,0,0,0,0,0,0,,,
214,A_SHARE,电气设备-电机-电机,complete,no_action,27,27,9,0,0,0,0,0,0,,,
215,A_SHARE,电气设备-电源设备-储能设备,complete,no_action,40,40,13,0,0,0,0,0,0,,,
216,A_SHARE,电气设备-电源设备-其他电源设备,complete,no_action,14,14,9,0,0,0,0,0,0,,,
217,A_SHARE,电气设备-电源设备-太阳能,complete,no_action,42,42,17,0,0,0,0,0,0,,,
218,A_SHARE,电气设备-电源设备-综合电力设备商,complete,no_action,4,4,3,0,0,0,0,0,0,,,
219,A_SHARE,电气设备-电源设备-风能,complete,no_action,10,10,6,0,0,0,0,0,0,,,
220,A_SHARE,电气设备-输变电设备-其他输变电设备,complete,no_action,52,52,24,0,0,0,0,0,0,,,
221,A_SHARE,电气设备-输变电设备-电气仪表,complete,no_action,12,12,8,0,0,0,0,0,0,,,
222,A_SHARE,电气设备-输变电设备-电气自控设备,complete,no_action,30,30,11,0,0,0,0,0,0,,,
223,A_SHARE,电气设备-输变电设备-电线电缆,complete,no_action,35,35,12,0,0,0,0,0,0,,,
224,A_SHARE,纺织服装-服装家纺-服装,complete,no_action,42,42,10,0,0,0,0,0,0,,,
225,A_SHARE,纺织服装-服装家纺-服饰辅料,complete,no_action,8,8,2,0,0,0,0,0,0,,,
226,A_SHARE,纺织服装-纺织-其他纺织,complete,no_action,23,23,7,0,0,0,0,0,0,,,
227,A_SHARE,轻工制造-其他轻工-其他轻工,complete,no_action,16,16,2,0,0,0,0,0,0,,,
228,A_SHARE,轻工制造-家具-家具制造,complete,no_action,39,39,9,0,0,0,0,0,0,,,
229,A_SHARE,轻工制造-文娱用品-文化用品,complete,no_action,4,4,1,0,0,0,0,0,0,,,
230,A_SHARE,轻工制造-珠宝首饰-珠宝首饰,complete,no_action,13,13,1,0,0,0,0,0,0,,,
231,A_SHARE,轻工制造-造纸印刷-包装印刷,complete,no_action,43,43,3,0,0,0,0,0,0,,,
232,A_SHARE,轻工制造-造纸印刷-造纸,complete,no_action,26,26,7,0,0,0,0,0,0,,,
233,A_SHARE,金融-非银行金融-保险,complete,no_action,5,5,4,0,0,0,0,0,0,,,
234,A_SHARE,金融-非银行金融-其他非银行金融,complete,no_action,18,18,7,0,0,0,0,0,0,,,
235,A_SHARE,金融-非银行金融-证券,complete,no_action,49,49,11,0,0,0,0,0,0,,,
236,A_SHARE,钢铁-钢铁-普钢,complete,no_action,23,23,1,0,0,0,0,0,0,,,
237,A_SHARE,钢铁-钢铁-特钢,complete,no_action,12,12,4,0,0,0,0,0,0,,,
238,A_SHARE,食品饮料-食品-乳制品,complete,no_action,16,16,4,0,0,0,0,0,0,,,
239,A_SHARE,食品饮料-食品-肉制品,complete,no_action,10,10,3,0,0,0,0,0,0,,,
240,A_SHARE,食品饮料-食品-调味品,complete,no_action,17,17,9,0,0,0,0,0,0,,,
241,A_SHARE,食品饮料-食品-食品综合,complete,no_action,56,56,20,0,0,0,0,0,0,,,
242,A_SHARE,食品饮料-饮料-其他酒类,complete,no_action,2,2,1,0,0,0,0,0,0,,,
243,A_SHARE,食品饮料-饮料-啤酒,complete,no_action,8,8,5,0,0,0,0,0,0,,,
244,A_SHARE,食品饮料-饮料-白酒,complete,no_action,20,20,3,0,0,0,0,0,0,,,
245,A_SHARE,食品饮料-饮料-葡萄酒,complete,no_action,5,5,1,0,0,0,0,0,0,,,
246,A_SHARE,食品饮料-饮料-软饮料,complete,no_action,11,11,4,0,0,0,0,0,0,,,
247,A_SHARE,食品饮料-饮料-黄酒,complete,no_action,3,3,1,0,0,0,0,0,0,,,
