market_type,market_label,security_code,symbol,company_name,watch_layer,quality_tier,valuation_tier,current_price,quote_pe,suggested_position_range_pct,max_single_name_pct,current_action,sizing_rationale,upgrade_condition,downgrade_condition,price_source,reviewed_at_utc
US,美股,ADBE,ADBE,Adobe Inc.,重点观察池,L2-落难白马观察,偏低但需AI风险验证,204.02,11.67,2%-4%,5%,小仓观察/右侧确认后加仓,估值已压缩且现金流强，但AI替代和增长下台阶仍未证伪，不能按确定性核心仓处理。,财报验证订阅增长恢复；AI功能带来ARPU或留存提升；利润率未被AI推理成本显著压制；股价突破后回踩不破。,AI替代创意入口被证实；订阅增长连续下台阶；利润率被AI成本或竞争压制；管理层资本配置恶化；右侧突破失败。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
HK,港股,02228,02228.HK,晶泰控股 / XtalPi,重点观察池,L4-AI应用期权,不低估/高证据要求,7.04,221.13,0%-1%,1.5%,只保留哨兵或零仓观察,AI4S具备想象力，但利润票和现金流未验证，当前估值不支持重仓。,财报验证收入可持续转化；AI4S智慧解决方案和药物发现解决方案同步增长；标杆药企/材料客户扩大合作；机器人实验室产能利用率提升；经营现金流接近转正。,订单无法转化为收入；项目型收入高度一次性；毛利率或费用率恶化；经营现金流持续流出且依赖融资；AI药物发现行业景气继续下行；估值提前计入过高AI叙事。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
HK,港股,03888,03888.HK,金山软件 / Kingsoft,重点观察池,L1-控股折价低估,低估,23.48,14.62,4%-7%,10%,可作为港股低估修复主仓之一,金山办公/金山云/现金与游戏业务形成资产折价，当前买入理由主要来自控股折价和办公AI持续验证。,金山办公收入和付费用户继续增长；金山软件经营现金流改善；游戏新品或长线运营验证；金山云AI云亏损收窄；折价收敛前估值仍有安全边际。,金山办公估值或增长被证伪；游戏业务继续下滑且无新品接力；控股公司折价长期无释放路径；金山云AI云重资本投入拖累现金流；管理层资本配置恶化。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
US,美股,FINV,FINV,FinVolution Group,重点观察池,L3-烟蒂/股东回报,低估但质量折价,5.03,4.13,2%-4%,5%,烟蒂仓，不进核心,PE和股东回报有吸引力，但助贷信用周期和监管决定它不具备高护城河复利属性。,海外业务收入和经营利润连续增长；中国大陆交易量恢复；贷款质量改善；2026年收入指引不再下修；回购价格低于内在价值并持续注销或减少ADS。,国内监管或信用质量恶化；90天以上逾期率上升；收入指引继续下降；海外扩张亏损放大；回购停止且现金被低效投资；金融监管导致盈利模型被重估。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
US,美股,WB,WB,Weibo Corporation,重点观察池,L3-低估平台现金流,低估但增长弱,7.64,5.34,2%-4%,5%,低估平台仓,广告现金流和股东回报支持低估修复，但用户增长和平台影响力下降限制仓位上限。,非阿里广告收入继续增长；经营利润率稳定在25%以上；VAS下滑收窄；投资公允价值损失减少；现金和短投维持高位；股东回报政策延续。,用户活跃度下降；广告增长再次转负；监管和内容风险上升；非经营投资亏损持续侵蚀利润；高股息不可持续；平台影响力被短视频和小红书等替代。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
US,美股,PDD,PDD,PDD Holdings Inc.,重点观察池,L1-平台型GARP,明显低估/风险折价,81.56,8.72,6%-10%,12%,美股账户优先配置候选,平台盈利和现金资产强，低估主要来自Temu政策和利润投入风险；若利润企稳，赔率较高。,交易服务收入继续增长；经营利润率维持高位；经营现金流持续为正；供应链投入转化为商家供给和履约优势；国内主站竞争优势未被价格战侵蚀。,Temu政策风险扩大；供应链和一方品牌投入长期压低利润；国内电商竞争导致货币化率下降；没有分红回购导致现金折价长期存在；平台治理或跨境监管风险上升。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
US,美股,JD,JD,JD.com Inc.,重点观察池,L3-落难平台/供应链资产,一般低估,28.56,21.28,2%-4%,5%,观察，不优先于PDD/腾讯/快手,供应链和零售资产有壁垒，但新业务投入拖累利润，自由现金流恢复前仓位应低。,零售服务收入和广告/平台收入增长；物流外部收入提升且利润率改善；外卖业务单位经济改善；年度自由现金流恢复；回购减少股本。,外卖价格战长期化；欧洲并购和海外扩张消耗现金；零售主业增长停滞；自由现金流持续低迷；低毛利重资产模式被市场继续低估。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
A_SHARE,A股,002594,002594.SZ,比亚迪 / BYD,核心候选池,L2-核心制造龙头,不便宜但可持有,91.60,30.31,4%-7%,10%,持有观察，等利润率改善再加仓,业务壁垒强，但汽车价格战和重资产扩张使当前估值不适合继续大幅加仓。,毛利率和净利率止跌；经营现金流改善；海外销量和高端品牌放量；动力电池外供或储能业务利润提升；研发投入继续保持领先。,价格战导致利润率持续下台阶；新能源车份额被持续侵蚀；库存和应收恶化；资本开支回报低于预期；技术路线被竞争对手反超。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
A_SHARE,A股,688617,688617.SH,惠泰医疗 / Apt Medical,核心候选池,L2-高壁垒医疗成长,合理偏贵,205.00,33.47,3%-5%,8%,准核心观察,细分赛道壁垒和利润率优秀，但估值仍要求增长持续兑现。,收入和利润继续双位数增长；毛利率稳定；研发投入转化为新品；海外或新科室放量；经营现金流跟随利润增长。,集采或价格管制显著压缩利润；核心产品增长放缓；研发管线失败；费用率失控；估值严重透支未来增长。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
A_SHARE,A股,300760,300760.SZ,迈瑞医疗 / Mindray,重点观察池,L2-落难医疗白马,合理偏低但需拐点,151.04,23.37,3%-6%,8%,等待业绩止跌/采购恢复,长期平台能力仍在，但增长降档和医疗采购节奏未完全修复，适合中等仓位。,体外诊断、生命信息与支持、医学影像收入恢复；毛利率稳定；费用控制有效；海外高端市场渗透提升。,增长中枢长期下移；核心产品被国产同行侵蚀；控费导致利润率持续下降；海外扩张不及预期；估值仍高但增长无法匹配。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
A_SHARE,A股,600519,600519.SH,贵州茅台 / Kweichow Moutai,重点观察池,L2-防守DCF龙头,合理偏低,1291.91,19.52,4%-7%,10%,防守配置,护城河极强但行业长期增长降档，仓位应由预期收益率而非历史地位决定。,收入和利润恢复稳定增长；经营现金流强于利润；批价和库存稳定；直销占比改善；股东回报提高。,批价持续下行；渠道库存恶化；高端白酒需求结构性下滑；治理或价格体系失控；估值再次明显透支。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
A_SHARE,A股,603605,603605.SH,珀莱雅 / Proya,重点观察池,L3-消费成长,合理,67.20,18.05,2%-4%,5%,消费复苏观察,经营质量优于普通消费股，但美妆行业进入门槛和竞争强度限制核心仓资格。,主品牌增长恢复；彩棠等品牌继续放量；毛利率和费用率稳定；经营现金流健康；库存和渠道未恶化。,品牌老化；新品失败；营销费用率持续抬升但收入不增长；存货和应收恶化；国际或国产竞品抢份额。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
A_SHARE,A股,000100,000100.SZ,TCL科技 / TCL Technology,重点观察池,L3-面板周期修复,周期底部修复,4.55,18.70,2%-4%,5%,周期修复仓,2025折旧峰值后有利润释放可能，但仍需面板价格、稼动率和资本开支纪律验证。,净利率从低位持续恢复；经营现金流强；资本开支纪律改善；OLED/Mini LED/车载等高端产品占比提升；回购推进。,行业重新无序扩产；面板价格下行；折旧释放不转化为利润；资产负债率继续上升；回购停止或资本开支失控。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
A_SHARE,A股,000725,000725.SZ,京东方A / BOE,重点观察池,L3-面板周期修复/玻璃基板期权,估值需看周期中枢,5.57,34.68,1%-3%,5%,低于TCL的周期修复仓,玻璃基板和回购注销提供期权，但当前利润率/ROE更弱，仓位低于TCL更合理。,净利率和ROE连续改善；折旧压力下降；高端显示和车载/IT面板占比提升；经营现金流稳定；回购注销执行。,玻璃基板停留在概念；面板供给再次过剩；利润率无法改善；资本开支重新扩张；回购不及预期。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
A_SHARE,A股,300896,300896.SZ,爱美客 / Imeik,重点观察池,L3-医美落难白马,合理但业绩未止跌,94.27,24.90,1%-3%,4%,等待收入利润止跌,注册和品牌壁垒高，但短期业绩下滑未修复前不能按核心仓处理。,核心产品恢复增长；毛利率维持高位；经营现金流跟随利润；新品管线落地；医美终端需求回暖。,核心产品增长长期停滞；监管收紧；竞品冲击价格体系；渠道库存恶化；高毛利无法维持。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
HK,港股,01024,01024.HK,快手 / Kuaishou,重点观察池,L1-低估平台/AI视频期权,低估,45.88,9.65,5%-8%,10%,港股互联网优先配置候选,主营平台已盈利且估值低，可灵是附加期权；买入理由不应依赖可灵单独兑现。,用户时长稳定；电商GMV和广告收入增长；经营利润率提升；可灵商业化数据披露；回购提升每股价值。,抖音竞争导致用户和广告下滑；电商增长失速；监管收紧；可灵商业化失败且AI投入压制利润；估值修复后缺乏增长。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
A_SHARE,A股,601899,601899.SH,紫金矿业 / Zijin Mining,重点观察池,L1-全球资源龙头,合理偏低但周期敏感,29.09,12.54,4%-7%,10%,资源核心候选,资源禀赋和成本优势真实，但必须按中枢金铜价格估值，不能把商品高位利润当永久利润。,铜金产量增长；吨/克成本保持行业低位；经营现金流强；资本开支纪律好；资源储量继续扩张。,商品价格处极端高位且供给扩张；高价并购；成本上升；资源国政治风险扩大；现金流和分红恶化。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
A_SHARE,A股,000333,000333.SZ,美的集团 / Midea,核心候选池,L1-稳健复利制造龙头,低估/合理偏低,83.23,14.34,6%-10%,12%,核心配置候选,品牌、渠道、供应链和现金流均强，估值相对质量具备吸引力，是当前更适合加大配置的A股之一。,收入和利润双位数或高个位数增长；毛利率稳定；经营现金流强；机器人/楼宇科技/新能源部件等ToB业务改善；股东回报提升。,白电价格战；海外需求下滑；ToB转型低效；库存恶化；管理层资本配置变差。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
A_SHARE,A股,688008,688008.SH,澜起科技 / Montage Technology,重点观察池,L3-产业链爆发高估值,昂贵/需业绩超预期,224.88,107.46,0%-2%,3%,仅小仓跟踪强趋势,AI服务器受益明确，但估值已计入较多乐观预期，只有订单继续大幅上修才支持加仓。,收入和净利继续高增；毛利率维持高位；研发转化为新品；客户验证扩大；经营现金流跟随利润。,AI服务器需求低于预期；DDR升级节奏放缓；竞争加剧；客户集中风险暴露；估值显著透支。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
A_SHARE,A股,603259,603259.SH,药明康德 / WuXi AppTec,重点观察池,L2-落难CRDMO白马,低估但政策折价,99.71,14.78,3%-5%,7%,政策风险可接受时配置,平台能力强且估值低，但地缘/监管风险是真实折价来源，仓位不能等同普通低PE白马。,收入增长稳定；经营现金流强；客户留存和新签订单恢复；毛利率稳定；资本开支回报改善。,美国或其他市场限制升级；大客户迁移；订单下滑；利润含一次性项目不可持续；管理层资本配置恶化。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
HK,港股,00700,00700.HK,腾讯控股 / Tencent,核心候选池,L1-平台现金流核心,合理偏低,463.60,16.96,8%-12%,15%,最高优先级核心候选,微信生态、游戏、广告和回购构成高质量现金流，当前估值不极端便宜但风险收益优秀。,游戏流水和递延收入改善；视频号广告增长；经营利润率稳定；自由现金流强；回购持续减少股本。,监管收紧；游戏增长停滞；广告景气下行；AI投入压缩利润；回购减少且估值透支。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
A_SHARE,A股,300750,300750.SZ,宁德时代 / CATL,核心候选池,L1-全球电池龙头,合理但不便宜,394.85,23.13,5%-9%,12%,核心候选但等利润率确认,技术、规模和客户壁垒强；当前PE不高但需确认价格战和海外风险未侵蚀长期利润率。,收入和利润继续增长；毛利率稳定；经营现金流强；海外客户拓展；储能业务放量；新技术量产验证。,价格战显著压缩利润；技术路线被替代；海外限制升级；客户自供比例大幅提升；资本开支回报下降。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
A_SHARE,A股,688271,688271.SH,联影医疗 / United Imaging,重点观察池,L3-高端设备成长观察,偏贵,114.02,49.51,0%-2%,3%,等待估值消化,国产替代能力值得看，但PE仍高，医疗设备采购恢复需要连续财报验证。,分产品收入增长；毛利率稳定；研发管线落地；海外收入提升；经营现金流改善。,医院采购再次放缓；高端产品竞争不及预期；毛利率下滑；研发投入无法转化；估值透支增长。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
A_SHARE,A股,600089,600089.SH,特变电工 / TBEA,重点观察池,L3-电网/资源周期复合,一般,23.03,18.86,1%-3%,4%,战术观察,输变电壁垒明确，但多晶硅和资源业务带来周期拖累，不适合作为纯复利核心。,输变电订单增长；毛利率稳定；经营现金流改善；多晶硅亏损收窄或出清；分红和资本开支纪律改善。,多晶硅价格继续下行拖累；电网订单不及预期；资产负债率上升；资本开支失控；资源周期利润回落。,"https://qt.gtimg.cn/q=sh601899,sz000333,sh688008,sh603259,sz300750,sh688271,sh600089,hk00700,hk01024,hk02228,hk03888,sz002594,sz300760,sh688617,sh600519,sh603605,sz300896,sz000100,sz000725,usADBE,usFINV,usWB,usPDD,usJD",2026-06-13T00:00:00+00:00
